cellIndex,embedding1,embedding2,cell_type
98,-12.090604,3.9986148,Ductal
99,-1.8059943,-4.994431,Ngn3 high EP
100,4.1258698,0.65790063,Pre-endocrine
101,2.3830097,5.3754697,Beta
102,7.110726,1.1133856,Alpha
103,-9.363262,0.32207733,Ngn3 low EP
104,-10.495506,-1.2921832,Ductal
105,-10.367674,1.2070645,Ductal
106,5.4034476,2.2823207,Beta
107,1.4744543,-1.336417,Pre-endocrine
108,-10.846176,-1.008293,Ductal
109,7.2306137,4.5599537,Alpha
110,4.3299494,0.016993912,Pre-endocrine
111,5.2444687,1.0347878,Beta
112,-7.720163,-1.6348033,Ngn3 low EP
113,-12.41564,3.335895,Ductal
114,8.525829,-1.0844926,Delta
115,5.3779593,-2.249274,Pre-endocrine
116,-11.047429,6.037519,Ductal
117,-10.719046,-1.2876067,Ductal
118,1.9706423,-4.608252,Ngn3 high EP
119,-8.37968,2.4396873,Ngn3 low EP
120,3.4800649,2.4080207,Epsilon
121,-11.588832,-0.73962325,Ductal
122,-10.684874,-0.07954098,Ductal
123,3.4157054,-3.683029,Pre-endocrine
124,6.1202593,1.4535599,Beta
125,-5.010132,-2.822764,Ngn3 high EP
126,-10.362076,-0.5544115,Ductal
127,-9.791051,-1.155077,Ngn3 low EP
128,-10.12584,3.2204719,Ductal
129,6.346333,1.9683311,Alpha
130,4.6885996,0.7533395,Beta
131,7.021126,4.6734366,Alpha
132,0.088717766,-4.05758,Ngn3 high EP
133,7.8193364,1.2517631,Alpha
134,0.49603632,-3.9175951,Ngn3 high EP
135,4.7876906,1.8888563,Beta
136,6.8747277,5.1272035,Alpha
137,-11.915075,4.6746097,Ductal
138,4.188297,3.5361834,Beta
139,1.9140369,0.3907657,Epsilon
140,5.5188513,-0.3910093,Beta
141,-10.291771,0.4086713,Ductal
142,-9.461829,1.6082355,Ductal
143,4.0181117,2.8151193,Beta
144,-11.255505,5.369324,Ductal
145,0.5290485,-3.530486,Ngn3 high EP
146,-11.241039,-1.4444996,Ductal
147,4.520283,-3.0893703,Pre-endocrine
148,-9.204985,-1.4518561,Ductal
149,7.6484504,2.894297,Alpha
150,6.0361323,1.941564,Alpha
151,3.7333078,1.4692426,Epsilon
152,2.9773006,5.4371915,Beta
153,-11.472138,4.1609783,Ductal
154,-2.381858,-4.7297397,Ngn3 high EP
155,-6.190496,-2.6830711,Ngn3 high EP
156,-8.498111,2.3271487,Ductal
157,-0.3686588,-5.2803617,Ngn3 high EP
158,7.114554,5.1295547,Alpha
159,-11.173181,-0.23364486,Ductal
160,-9.196832,0.23601624,Ngn3 low EP
161,7.1930304,-0.690909,Alpha
162,4.520586,-3.817292,Pre-endocrine
163,5.5733194,1.6694338,Alpha
164,5.393578,-2.1503365,Pre-endocrine
165,6.8509884,2.7394633,Alpha
166,4.895575,2.6582427,Beta
167,-6.092449,-2.79109,Ngn3 high EP
168,6.046676,-2.374115,Pre-endocrine
169,0.051720344,-3.3204794,Ngn3 high EP
170,2.7087297,4.390323,Beta
171,-11.912753,3.6445534,Ductal
172,-4.462868,-3.420645,Ngn3 high EP
173,-8.372979,-1.1617931,Ngn3 low EP
174,5.0980964,-2.696502,Pre-endocrine
175,2.7282043,-1.9846003,Pre-endocrine
176,-10.396271,0.16280559,Ductal
177,1.3439193,-2.5575938,Pre-endocrine
178,9.353281,-1.3498038,Delta
179,5.7243953,0.9349374,Beta
180,-5.5150414,-3.642048,Ngn3 high EP
181,-0.87164825,-5.09364,Ngn3 high EP
182,-11.3952055,-0.8900811,Ductal
183,2.37413,-0.08229823,Epsilon
184,0.5280131,-4.9937525,Ngn3 high EP
185,-0.31275338,-5.1481266,Ngn3 high EP
186,-1.4587305,-4.408066,Ngn3 high EP
187,7.102697,1.7050588,Alpha
188,2.2595377,6.0349364,Beta
189,2.4216826,5.9850206,Beta
190,8.384479,5.238558,Alpha
191,5.0814004,1.6830095,Beta
192,-11.210487,0.5376771,Ductal
193,3.6040623,4.2538505,Beta
194,-11.467683,4.7080665,Ductal
195,1.0239607,-4.1809516,Ngn3 high EP
196,5.3639483,0.7832773,Beta
197,4.0963306,4.7069917,Beta
198,7.5236063,3.6738956,Alpha
199,-1.509695,-3.7886882,Ngn3 high EP
200,0.52455854,-4.9841423,Ngn3 high EP
201,2.8409936,2.0126941,Epsilon
202,-12.289029,2.354205,Ductal
203,1.5525346,-3.2210817,Pre-endocrine
204,5.5511217,-2.0360284,Pre-endocrine
205,6.836996,1.2850064,Alpha
206,8.224972,-1.2287211,Delta
207,4.683941,4.2946253,Beta
208,-9.511768,-1.6576182,Ductal
209,-9.823419,-1.0399162,Ductal
210,5.3172975,0.97625095,Beta
211,4.572343,0.56579596,Pre-endocrine
212,-10.92072,-0.6133015,Ductal
213,-0.2899037,-4.1817517,Ngn3 high EP
214,2.5100691,-4.370455,Pre-endocrine
215,-2.4735217,-4.1929164,Ngn3 high EP
216,5.6316285,-1.073256,Pre-endocrine
217,7.5755777,3.8535607,Alpha
218,6.513249,3.7417588,Alpha
219,-10.724938,3.3942788,Ductal
220,7.64146,5.18426,Alpha
221,-1.5740901,-4.6944647,Ngn3 high EP
222,-11.364916,4.344074,Ductal
223,8.412721,4.2674565,Alpha
224,-11.003931,-1.1728581,Ductal
225,6.511388,2.0635886,Alpha
226,-10.640585,0.11699703,Ductal
227,7.1827517,5.100609,Alpha
228,-9.242672,3.1085637,Ductal
229,-10.241841,0.727951,Ductal
230,3.3452432,-1.4667065,Pre-endocrine
231,-12.143137,2.5351555,Ductal
232,5.0929728,2.5482855,Beta
233,6.331028,2.254438,Alpha
234,-7.717052,-2.022987,Ngn3 high EP
235,1.6285424,-3.9161441,Ngn3 high EP
236,3.2888467,5.075647,Beta
237,-7.7232585,-1.7825981,Ngn3 low EP
238,-8.885527,-0.17575195,Ngn3 low EP
239,4.0303802,-3.5861921,Pre-endocrine
240,2.628814,-2.0395703,Pre-endocrine
241,2.3579855,-2.252564,Pre-endocrine
242,5.1288514,3.1929984,Beta
243,5.469442,-1.7237717,Pre-endocrine
244,1.3406211,-2.951712,Pre-endocrine
245,-11.093955,-0.8421449,Ductal
246,7.162699,0.6111158,Alpha
247,-4.781803,-3.6151323,Ngn3 high EP
248,-10.043945,1.5839564,Ductal
249,6.9480457,-0.8090878,Pre-endocrine
250,-11.086575,-0.1925889,Ductal
251,-9.154995,-0.38861966,Ngn3 low EP
252,4.884735,3.238577,Beta
253,-9.25125,-0.23491266,Ngn3 low EP
254,-9.35345,5.4344416,Ductal
255,7.7961087,4.060859,Alpha
256,-9.044225,-0.14805421,Ngn3 low EP
257,6.777175,1.9321803,Alpha
258,7.5633006,2.6837633,Alpha
259,-0.8370192,-4.906604,Ngn3 high EP
260,-8.7496605,-0.94191706,Ngn3 low EP
261,6.376775,0.8480432,Beta
262,2.475186,0.20168611,Epsilon
263,-5.9945283,-2.723744,Ngn3 high EP
264,4.382257,-0.76466584,Pre-endocrine
265,-10.169484,0.36452776,Ductal
266,-11.765867,5.191062,Ductal
267,6.0452514,-1.8343345,Pre-endocrine
268,-11.916751,5.0514154,Ductal
269,2.2112195,4.940057,Beta
270,-2.385108,-4.125008,Ngn3 high EP
271,-11.532904,5.222303,Ductal
272,-11.676399,3.9058218,Ductal
273,-8.332741,0.09316502,Ductal
274,-9.533373,2.1432898,Ductal
275,5.4170666,0.9635551,Beta
276,2.809378,-4.5153985,Pre-endocrine
277,7.9616175,1.1452135,Alpha
278,6.5697355,3.1352892,Alpha
279,6.34623,-1.6735827,Pre-endocrine
280,-2.1904216,-3.9623346,Ngn3 high EP
281,-9.181387,-0.033424795,Ductal
282,7.0984073,5.0934877,Alpha
283,1.9500691,5.744494,Beta
284,-4.77012,-3.675132,Ngn3 high EP
285,1.5513151,-0.8145749,Epsilon
286,-10.304022,-0.9711133,Ductal
287,-9.346183,-0.13429774,Ngn3 low EP
288,-11.393715,2.8442008,Ductal
289,7.7373147,4.071755,Alpha
290,5.2174406,3.681239,Beta
291,2.8633592,4.735023,Beta
292,3.3282263,-1.4245968,Pre-endocrine
293,6.9366198,4.448923,Alpha
294,-2.602157,-3.8656168,Ngn3 high EP
295,1.730183,-0.3824698,Epsilon
296,2.1839733,5.0538034,Beta
297,1.7100205,-4.564187,Ngn3 high EP
298,8.426275,-1.1620268,Delta
299,7.09386,4.738942,Alpha
300,-6.5862656,-2.5747304,Ngn3 high EP
301,-11.400786,2.7180312,Ductal
302,-10.93543,1.0108523,Ngn3 low EP
303,-5.8279924,-2.9825108,Ngn3 high EP
304,4.575668,2.266153,Beta
305,6.4222145,-0.16994165,Pre-endocrine
306,-4.1307282,-3.4096875,Ngn3 high EP
307,-5.338806,-3.4725497,Ngn3 high EP
308,7.6387615,2.4008605,Alpha
309,-8.199331,2.1621046,Ductal
310,4.5216546,-0.72476655,Pre-endocrine
311,-0.273398,-5.0597053,Ngn3 high EP
312,1.5244255,-2.22742,Pre-endocrine
313,5.410512,0.26352653,Beta
314,2.2310019,1.3317419,Epsilon
315,1.5974596,-4.052975,Ngn3 high EP
316,4.704718,-2.8672853,Pre-endocrine
317,-8.121011,-1.3001552,Ngn3 low EP
318,8.416343,5.050197,Alpha
319,-9.425886,2.7804382,Ductal
320,-2.9809165,-3.7525656,Ngn3 high EP
321,-5.160691,-3.2082512,Ngn3 high EP
322,-7.582926,-1.2564229,Ngn3 low EP
323,7.904826,0.70822155,Alpha
324,6.0045853,0.0077591366,Beta
325,4.984954,2.245433,Beta
326,-11.715669,3.9678936,Ngn3 low EP
327,6.2537484,-2.4839404,Pre-endocrine
328,-11.768,0.9170352,Ductal
329,-8.950478,-0.48115227,Ductal
330,-8.547027,-0.40839824,Ngn3 low EP
331,0.872237,-4.675645,Ngn3 high EP
332,3.110433,5.503577,Beta
333,1.0181519,-2.5566225,Pre-endocrine
334,-4.909668,-3.806054,Ngn3 high EP
335,-10.865937,6.2544875,Ductal
336,-11.2654,-0.69195557,Ductal
337,-11.807065,2.3659685,Ductal
338,5.8029475,-2.6360831,Pre-endocrine
339,-9.448929,2.4635942,Ductal
340,5.755506,0.18049234,Beta
341,-6.9654193,-2.26792,Ngn3 high EP
342,-9.784279,-0.5150663,Ductal
343,2.5704095,5.2636676,Beta
344,-3.5900328,-3.6244254,Ngn3 high EP
345,2.759736,-3.5354805,Pre-endocrine
346,-11.330486,-0.84065527,Ductal
347,-11.59115,1.4343024,Ductal
348,-11.68725,2.5380342,Ductal
349,8.198245,-0.96933556,Delta
350,4.6816583,0.046899084,Pre-endocrine
351,3.8176503,-3.3551533,Pre-endocrine
352,-10.257325,0.3047365,Ductal
353,-10.692996,-0.7605816,Ductal
354,4.2637863,3.8783953,Beta
355,1.7583017,-2.6960056,Pre-endocrine
356,5.805617,-0.45328704,Pre-endocrine
357,2.471385,5.697331,Beta
358,2.182461,4.8795147,Beta
359,2.2077563,-0.20323604,Epsilon
360,-10.981823,-1.1956384,Ductal
361,6.888585,3.1499274,Alpha
362,-11.289046,0.6433749,Ductal
363,5.7530947,-0.25557938,Pre-endocrine
364,7.9068174,2.5517395,Alpha
365,2.7270901,1.7213101,Epsilon
366,-10.243863,2.8300319,Ductal
367,5.8739557,2.1420534,Beta
368,-10.057926,0.7496843,Ductal
369,-8.780081,0.22830488,Ductal
370,-11.297905,0.3678042,Ductal
371,2.6565402,6.256076,Beta
372,-8.493991,3.5892267,Ductal
373,-9.605356,2.2903306,Ngn3 low EP
374,5.4808493,-2.9660108,Pre-endocrine
375,-11.156312,4.5162883,Ductal
376,2.423272,1.6797389,Epsilon
377,5.755124,-3.071102,Pre-endocrine
378,5.55028,1.348612,Beta
379,-5.586844,-1.8247977,Ngn3 high EP
380,-11.207826,0.3544529,Ductal
381,-1.7060536,-4.651904,Ngn3 high EP
382,3.8098712,3.5164144,Beta
383,4.5825114,0.08774701,Pre-endocrine
384,2.022029,6.2533746,Beta
385,-0.9122035,-4.8227124,Ngn3 high EP
386,7.5551367,5.144945,Alpha
387,3.6193352,-3.380275,Pre-endocrine
388,4.402952,3.6093895,Beta
389,-2.5394762,-2.5991318,Ngn3 high EP
390,-11.979307,2.5609903,Ductal
391,7.7838416,5.2775145,Alpha
392,-9.815042,1.9591327,Ngn3 low EP
393,1.0865302,-2.293986,Pre-endocrine
394,-2.1361015,-4.0253067,Ngn3 high EP
395,-11.926281,3.9194002,Ngn3 low EP
396,5.9111643,-0.8329444,Pre-endocrine
397,-5.323429,-3.7515693,Ngn3 high EP
398,-10.130552,-0.26125363,Ngn3 low EP
399,5.9984975,2.479954,Alpha
400,-0.07326674,-4.0916014,Ngn3 high EP
401,-9.850021,0.11578096,Ductal
402,1.0251849,-4.4785852,Ngn3 high EP
403,3.5992515,-3.5292304,Pre-endocrine
404,7.2052426,4.5258727,Alpha
405,-2.1883483,-4.8496113,Ngn3 high EP
406,-10.441709,3.1496458,Ductal
407,6.1120386,-1.3596647,Pre-endocrine
408,1.7960926,-0.04883668,Epsilon
409,3.6069956,-4.7467313,Pre-endocrine
410,3.906013,-0.861582,Pre-endocrine
411,-10.522441,-0.30333513,Ductal
412,-2.3088055,-3.8145282,Ngn3 high EP
413,-8.621584,1.7550075,Ductal
414,-5.8440595,-2.9503973,Ngn3 high EP
415,-9.151435,0.25246248,Ngn3 low EP
416,-11.154958,0.13858992,Ductal
417,-4.7410693,-3.1651378,Ngn3 high EP
418,-5.069548,-3.0719385,Ngn3 high EP
419,2.1357315,5.2729187,Beta
420,3.1333401,4.9937673,Beta
421,-11.430994,0.77116585,Ductal
422,-1.4298218,-4.692497,Ngn3 high EP
423,-7.6617393,-1.3452436,Ngn3 low EP
424,-12.308151,2.6923592,Ductal
425,-8.844227,2.86529,Ductal
426,4.241344,2.9759014,Beta
427,4.369022,2.0120687,Beta
428,3.4297628,2.5034208,Epsilon
429,2.2735574,5.995354,Beta
430,4.741712,1.6747808,Beta
431,-3.270576,-4.0397587,Ngn3 high EP
432,3.6642106,-4.424351,Pre-endocrine
433,6.444501,1.227572,Alpha
434,6.2127733,4.1002607,Alpha
435,-10.312296,0.9461032,Ductal
436,5.6479526,1.4820391,Pre-endocrine
437,-7.4662623,-2.0020225,Ngn3 high EP
438,6.3992534,0.53918874,Pre-endocrine
439,-1.0298177,-4.746927,Ngn3 high EP
440,6.4696827,2.4114563,Alpha
441,-8.862474,-0.05146847,Ductal
442,-9.793318,1.7989161,Ductal
443,4.1570277,2.6071272,Epsilon
444,-7.9993935,-1.36743,Ngn3 low EP
445,-11.548142,3.2840943,Ductal
446,4.487481,1.7684429,Beta
447,5.816958,-0.6070994,Pre-endocrine
448,4.7301493,2.0078838,Beta
449,-11.536753,1.3004087,Ductal
450,-8.593985,1.9622796,Ductal
451,5.9326863,2.7620595,Alpha
452,6.7097216,3.9096284,Alpha
453,8.006818,3.474729,Alpha
454,2.3537877,6.530705,Beta
455,-10.563356,-0.5262666,Ngn3 low EP
456,-4.162016,-3.4835799,Ngn3 high EP
457,-8.188827,2.0954866,Ngn3 low EP
458,2.7359257,0.8248799,Epsilon
459,3.0477026,5.129477,Beta
460,-8.440815,0.8256211,Ductal
461,-2.5071905,-2.4252784,Ngn3 high EP
462,-12.507157,2.8164172,Ductal
463,2.5336268,1.8820122,Epsilon
464,-10.916956,5.700823,Ductal
465,-11.667656,1.8880445,Ductal
466,-11.302187,2.716123,Ductal
467,-9.780526,-0.34332785,Ductal
468,-4.325128,-3.091694,Ngn3 high EP
469,2.8228886,0.63412595,Epsilon
470,-9.500952,-0.072649136,Ductal
471,-11.83582,3.1312394,Ductal
472,3.2257695,4.1883492,Beta
473,-2.3640866,-4.609597,Ngn3 high EP
474,5.279071,1.7815515,Beta
475,2.6568663,-2.5661638,Pre-endocrine
476,-8.6671095,1.3502024,Ductal
477,-8.696634,0.12229579,Ngn3 low EP
478,7.098525,0.9824839,Alpha
479,7.2439394,3.7395322,Alpha
480,-2.4756267,-4.240191,Ngn3 high EP
481,1.4662601,-4.697283,Ngn3 high EP
482,-10.553673,-0.19586284,Ductal
483,4.6674776,-0.22232087,Pre-endocrine
484,2.8308012,0.19451131,Epsilon
485,5.219632,-3.2222822,Pre-endocrine
486,4.665912,1.4522668,Beta
487,7.7323394,5.24895,Alpha
488,-10.099508,-0.055551745,Ductal
489,-9.935319,5.084796,Ductal
490,-3.718919,-3.7777774,Ngn3 high EP
491,4.6739664,-2.8134768,Pre-endocrine
492,-10.754007,-0.22744606,Ductal
493,4.082687,4.3486423,Beta
494,-11.825886,4.102937,Ductal
495,-0.7716199,-3.7970045,Ngn3 high EP
496,5.3589463,-0.96315545,Pre-endocrine
497,-10.861934,4.6165123,Ngn3 low EP
498,-11.323763,-0.24064068,Ductal
499,-2.040622,-3.888319,Ngn3 high EP
500,-11.314251,5.4895496,Ductal
501,-0.88357675,-4.160595,Ngn3 high EP
502,-3.552976,-4.067494,Ngn3 high EP
503,1.5649027,-4.098021,Ngn3 high EP
504,0.83476603,-4.7662053,Ngn3 high EP
505,-11.314467,0.35609913,Ngn3 low EP
506,2.9695792,6.0287223,Beta
507,-11.437844,0.45485148,Ngn3 low EP
508,-10.139697,-0.60679793,Ductal
509,-3.3529863,-3.8625302,Ngn3 high EP
510,2.4977648,0.3346191,Epsilon
511,-7.176095,-1.7199551,Ngn3 high EP
512,1.916813,5.1688514,Beta
513,2.2447803,1.5761708,Epsilon
514,6.9183316,-0.13644543,Pre-endocrine
515,-1.4470882,-4.716313,Ngn3 high EP
516,-10.122344,5.455405,Ductal
517,6.4784493,2.8707283,Beta
518,-11.4753,4.028051,Ductal
519,-5.7743716,-1.8261082,Ngn3 high EP
520,5.565277,-3.1565127,Pre-endocrine
521,-2.862318,-2.0506923,Ngn3 low EP
522,-1.868073,-4.6703906,Ngn3 high EP
523,-10.271602,2.5029955,Ductal
524,-7.0859113,-1.6760731,Ngn3 high EP
525,-4.8378577,-3.3556716,Ngn3 high EP
526,-9.362247,2.4054134,Ductal
527,8.159131,2.729642,Alpha
528,-7.408862,0.109381214,Ngn3 low EP
529,-1.5566751,-4.899457,Ngn3 high EP
530,5.1251335,2.2669537,Beta
531,7.3297324,4.3827934,Alpha
532,-11.205079,4.512301,Ductal
533,-5.6294146,-2.490808,Ngn3 high EP
534,1.4946967,-1.2892712,Pre-endocrine
535,8.26256,-1.1759332,Delta
536,5.9581013,-0.42672065,Pre-endocrine
537,-9.807572,2.3053474,Ductal
538,-2.4367223,-3.7204435,Ngn3 high EP
539,2.4796178,6.140102,Beta
540,-11.917738,1.9204319,Ductal
541,-10.786985,4.276466,Ductal
542,-11.303065,3.9475706,Ngn3 low EP
543,4.7785916,2.0544233,Beta
544,2.8883383,2.3080769,Epsilon
545,1.3829451,-1.9516236,Pre-endocrine
546,-9.126804,-1.0493947,Ngn3 low EP
547,-9.93718,0.53455865,Ductal
548,0.99768275,-4.3754296,Ngn3 high EP
549,8.5832205,4.2673593,Alpha
550,-9.67668,5.200054,Ductal
551,1.411301,-2.035008,Pre-endocrine
552,4.983946,-0.1256309,Pre-endocrine
553,5.57636,-2.0908115,Pre-endocrine
554,6.6250315,4.282763,Alpha
555,9.272348,-1.1526583,Delta
556,-9.143239,0.963134,Ductal
557,-0.87831384,-4.088667,Ngn3 high EP
558,-12.321483,3.2102146,Ductal
559,1.2971969,-4.332283,Ngn3 high EP
560,3.6323714,4.480152,Beta
561,-9.858096,3.564013,Ductal
562,-9.915587,-0.74612474,Ngn3 low EP
563,-10.306976,2.6239316,Ductal
564,4.966331,1.0189089,Beta
565,0.5570956,-4.0848403,Ngn3 high EP
566,3.3577404,5.070631,Beta
567,-1.4572666,-4.9403315,Ngn3 high EP
568,-9.929038,3.3555124,Ductal
569,-10.542668,6.068857,Ductal
570,2.760296,5.0407014,Beta
571,-9.863116,4.211993,Ngn3 low EP
572,-10.75899,0.25874835,Ngn3 low EP
573,7.327534,2.3242362,Alpha
574,6.723747,4.409321,Alpha
575,-9.788222,0.5577054,Ductal
576,2.5509846,1.5610048,Epsilon
577,5.411959,0.20482418,Beta
578,-0.0048251394,-3.6970024,Ngn3 high EP
579,4.5927553,2.533687,Beta
580,4.5432806,2.5375922,Beta
581,-8.355643,1.5882102,Ngn3 low EP
582,-4.840368,-2.8191419,Ngn3 high EP
583,3.5924091,4.771236,Beta
584,-11.246185,3.9453878,Ngn3 low EP
585,2.13934,-4.5608606,Ngn3 high EP
586,-9.671516,5.2380824,Ductal
587,-10.329642,-1.2455018,Ngn3 low EP
588,6.5718775,-1.8790889,Pre-endocrine
589,-2.5125008,-2.4431002,Ngn3 high EP
590,6.914316,4.7632594,Alpha
591,-10.311457,2.3074203,Ductal
592,-9.828928,1.2944354,Ductal
593,-8.711421,0.6630832,Ngn3 low EP
594,-7.258863,-2.368672,Ngn3 high EP
595,6.3334823,4.0650916,Alpha
596,4.6425695,-4.1331186,Pre-endocrine
597,-0.03116072,-4.8974295,Ngn3 high EP
598,-12.261815,3.2595572,Ductal
599,4.810638,3.0483077,Beta
600,3.8434923,4.3105226,Beta
601,7.317969,3.254712,Alpha
602,-10.437363,-1.3761864,Ductal
603,6.058259,-2.7384982,Pre-endocrine
604,7.700668,0.52336574,Alpha
605,4.5882096,3.496476,Beta
606,-11.5105715,4.0987267,Ductal
607,-3.63509,-3.5134015,Ngn3 high EP
608,3.5789945,3.3150373,Beta
609,1.3440244,-3.9091878,Ngn3 high EP
610,5.6087976,1.5352385,Beta
611,5.493026,-2.651628,Pre-endocrine
612,-11.9793825,1.920371,Ngn3 low EP
613,5.819237,-2.838015,Pre-endocrine
614,1.7423741,-0.22655489,Epsilon
615,-4.0878487,-4.0584517,Ngn3 high EP
616,6.186127,1.9009011,Alpha
617,7.1661944,2.9089825,Alpha
618,2.7294128,5.401972,Beta
619,-0.29476783,-3.683354,Ngn3 high EP
620,6.126846,2.5390544,Alpha
621,3.9703615,-4.0258303,Pre-endocrine
622,4.2591043,-4.276629,Pre-endocrine
623,-0.66706264,-5.059233,Ngn3 high EP
624,3.4748275,2.2438836,Epsilon
625,2.7745652,5.414705,Beta
626,-8.1461,-0.93886137,Ductal
627,-3.9369757,-3.2710118,Ngn3 high EP
628,3.3380098,0.9604463,Epsilon
629,-10.156255,2.2097473,Ductal
630,4.0721827,2.3608053,Beta
631,-8.208012,3.705299,Ductal
632,-5.7753124,-2.9190867,Ngn3 high EP
633,-9.033058,-0.16242692,Ngn3 low EP
634,2.5888386,6.100946,Beta
635,-11.510943,4.0804877,Ductal
636,6.064332,-2.7997541,Pre-endocrine
637,-9.256075,2.619661,Ductal
638,5.547491,-1.69469,Pre-endocrine
639,7.561778,2.2403502,Alpha
640,5.623633,2.1391199,Beta
641,-11.324724,-1.2775412,Ductal
642,4.064908,4.124856,Beta
643,7.050288,-0.85669506,Alpha
644,6.8606987,0.9528374,Alpha
645,-9.678314,5.6839776,Ductal
646,5.9517674,2.603811,Alpha
647,2.9632826,-4.311599,Pre-endocrine
648,8.107022,4.3950386,Alpha
649,4.685156,2.4804902,Beta
650,-4.3576317,-3.1302052,Ngn3 high EP
651,-0.19086763,-4.9455366,Ngn3 high EP
652,-6.105137,-2.9453673,Ngn3 high EP
653,-9.380866,4.363374,Ngn3 low EP
654,-9.091886,1.4437747,Ductal
655,-12.005856,3.8891344,Ductal
656,-0.58311576,-5.102725,Ngn3 high EP
657,-12.226871,3.2843883,Ngn3 low EP
658,-5.1794047,-3.4769297,Ngn3 high EP
659,-10.603616,6.0485473,Ductal
660,6.950663,1.3260047,Alpha
661,-11.451665,1.3053136,Ductal
662,3.6473846,3.6815524,Beta
663,6.6905875,-0.757063,Pre-endocrine
664,3.0461204,0.39773023,Epsilon
665,6.9228034,4.0691805,Alpha
666,-9.879417,0.86770046,Ductal
667,3.794078,5.3425326,Beta
