setting,cellIndex,embedding1,embedding2,cell_type,raw_pathway_attention_score,mean_pathway_edge_attention,n_pathway_edges
UMAP2,134,0.49603632,-3.9175951,Ngn3 high EP,0.9815004,0.011281613,87
UMAP2,135,4.7876906,1.8888563,Beta,0.9071214,0.010426683,87
UMAP2,136,6.8747277,5.1272035,Alpha,0.8021825,0.009220488,87
UMAP2,137,-11.915075,4.6746097,Ductal,0.9663026,0.011106926,87
UMAP2,138,4.188297,3.5361834,Beta,1.2379404,0.014229201,87
UMAP2,139,1.9140369,0.3907657,Epsilon,0.9488219,0.010905999,87
UMAP2,140,5.5188513,-0.3910093,Beta,0.9335004,0.010729889,87
UMAP2,141,-10.291771,0.4086713,Ductal,0.97154653,0.011167201,87
UMAP2,142,-9.461829,1.6082355,Ductal,0.9720061,0.011172484,87
UMAP2,143,4.0181117,2.8151193,Beta,1.1574363,0.013303865,87
UMAP2,144,-11.255505,5.369324,Ductal,0.9814781,0.011281357,87
UMAP2,145,0.5290485,-3.530486,Ngn3 high EP,0.96387863,0.011079065,87
UMAP2,146,-11.241039,-1.4444996,Ductal,0.98827225,0.011359451,87
UMAP2,147,4.520283,-3.0893703,Pre-endocrine,0.9394521,0.0107983,87
UMAP2,148,-9.204985,-1.4518561,Ductal,1.0029557,0.011528227,87
UMAP2,149,7.6484504,2.894297,Alpha,0.7186321,0.008260139,87
UMAP2,150,6.0361323,1.941564,Alpha,0.7230561,0.0083109895,87
UMAP2,151,3.7333078,1.4692426,Epsilon,0.8191209,0.009415182,87
UMAP2,152,2.9773006,5.4371915,Beta,6.139001,0.07056323,87
UMAP2,153,-11.472138,4.1609783,Ductal,0.9630096,0.011069076,87
UMAP2,154,-2.381858,-4.7297397,Ngn3 high EP,0.9968065,0.011457546,87
UMAP2,155,-6.190496,-2.6830711,Ngn3 high EP,0.9919653,0.0114019,87
UMAP2,156,-8.498111,2.3271487,Ductal,0.9978901,0.011470001,87
UMAP2,157,-0.3686588,-5.2803617,Ngn3 high EP,0.9600539,0.011035102,87
UMAP2,158,7.114554,5.1295547,Alpha,0.7738899,0.008895286,87
UMAP2,159,-11.173181,-0.23364486,Ductal,0.9761604,0.011220234,87
UMAP2,160,-9.196832,0.23601624,Ngn3 low EP,0.98643357,0.011338317,87
UMAP2,161,7.1930304,-0.690909,Alpha,0.80979264,0.009307961,87
UMAP2,162,4.520586,-3.817292,Pre-endocrine,0.90105337,0.010356936,87
UMAP2,163,5.5733194,1.6694338,Alpha,0.7538264,0.008664671,87
UMAP2,164,5.393578,-2.1503365,Pre-endocrine,0.8891918,0.010220596,87
UMAP2,165,6.8509884,2.7394633,Alpha,0.7421874,0.00853089,87
UMAP2,166,4.895575,2.6582427,Beta,0.8616942,0.009904531,87
UMAP2,167,-6.092449,-2.79109,Ngn3 high EP,0.9943971,0.011429852,87
UMAP2,168,6.046676,-2.374115,Pre-endocrine,0.8789695,0.010103097,87
UMAP2,169,0.051720344,-3.3204794,Ngn3 high EP,1.0068684,0.011573199,87
UMAP2,170,2.7087297,4.390323,Beta,5.859883,0.06735498,87
UMAP2,171,-11.912753,3.6445534,Ductal,0.99156654,0.011397316,87
UMAP2,172,-4.462868,-3.420645,Ngn3 high EP,1.0232441,0.011761427,87
UMAP2,173,-8.372979,-1.1617931,Ngn3 low EP,0.99896085,0.011482309,87
UMAP2,174,5.0980964,-2.696502,Pre-endocrine,0.9342049,0.010737987,87
UMAP2,175,2.7282043,-1.9846003,Pre-endocrine,0.90414524,0.010392474,87
UMAP2,176,-10.396271,0.16280559,Ductal,0.97890127,0.011251738,87
UMAP2,177,1.3439193,-2.5575938,Pre-endocrine,0.9365692,0.010765163,87
UMAP2,178,9.353281,-1.3498038,Delta,0.7874017,0.009050594,87
UMAP2,179,5.7243953,0.9349374,Beta,0.9035809,0.010385987,87
UMAP2,180,-5.5150414,-3.642048,Ngn3 high EP,1.0147114,0.011663349,87
UMAP2,181,-0.87164825,-5.09364,Ngn3 high EP,0.97869986,0.011249424,87
UMAP2,182,-11.3952055,-0.8900811,Ductal,0.98459804,0.011317219,87
UMAP2,183,2.37413,-0.08229823,Epsilon,0.91092,0.010470345,87
UMAP2,184,0.5280131,-4.9937525,Ngn3 high EP,0.948098,0.010897678,87
UMAP2,185,-0.31275338,-5.1481266,Ngn3 high EP,0.9820993,0.011288498,87
UMAP2,186,-1.4587305,-4.408066,Ngn3 high EP,0.97849345,0.011247051,87
UMAP2,187,7.102697,1.7050588,Alpha,0.8357843,0.009606716,87
UMAP2,188,2.2595377,6.0349364,Beta,5.8350267,0.06706927,87
UMAP2,189,2.4216826,5.9850206,Beta,6.1423073,0.07060123,87
UMAP2,190,8.384479,5.238558,Alpha,0.78595537,0.00903397,87
UMAP2,191,5.0814004,1.6830095,Beta,0.98181736,0.0112852575,87
UMAP2,192,-11.210487,0.5376771,Ductal,0.9731623,0.011185774,87
UMAP2,193,3.6040623,4.2538505,Beta,3.0983996,0.03561379,87
UMAP2,194,-11.467683,4.7080665,Ductal,0.977275,0.011233046,87
UMAP2,195,1.0239607,-4.1809516,Ngn3 high EP,0.9707956,0.01115857,87
UMAP2,196,5.3639483,0.7832773,Beta,0.8766682,0.010076646,87
UMAP2,197,4.0963306,4.7069917,Beta,2.5524642,0.029338669,87
UMAP2,198,7.5236063,3.6738956,Alpha,0.7287269,0.008376172,87
UMAP2,199,-1.509695,-3.7886882,Ngn3 high EP,0.9793187,0.0112565365,87
UMAP2,200,0.52455854,-4.9841423,Ngn3 high EP,0.9598121,0.011032323,87
UMAP2,201,2.8409936,2.0126941,Epsilon,0.9125726,0.010489341,87
UMAP2,202,-12.289029,2.354205,Ductal,0.9689144,0.011136947,87
UMAP2,203,1.5525346,-3.2210817,Pre-endocrine,0.9270065,0.010655247,87
UMAP2,204,5.5511217,-2.0360284,Pre-endocrine,0.8586769,0.009869849,87
UMAP2,205,6.836996,1.2850064,Alpha,0.8668112,0.009963348,87
UMAP2,206,8.224972,-1.2287211,Delta,0.727617,0.008363414,87
UMAP2,207,4.683941,4.2946253,Beta,1.3933197,0.01601517,87
UMAP2,208,-9.511768,-1.6576182,Ductal,0.9978835,0.011469925,87
UMAP2,209,-9.823419,-1.0399162,Ductal,0.99114746,0.011392499,87
UMAP2,210,5.3172975,0.97625095,Beta,0.88950515,0.010224197,87
UMAP2,211,4.572343,0.56579596,Pre-endocrine,0.83398825,0.009586072,87
UMAP2,212,-10.92072,-0.6133015,Ductal,0.9798001,0.01126207,87
UMAP2,213,-0.2899037,-4.1817517,Ngn3 high EP,0.9649197,0.011091031,87
UMAP2,214,2.5100691,-4.370455,Pre-endocrine,0.90619606,0.010416047,87
UMAP2,215,-2.4735217,-4.1929164,Ngn3 high EP,1.0045245,0.011546258,87
UMAP2,216,5.6316285,-1.073256,Pre-endocrine,0.9309187,0.010700215,87
UMAP2,217,7.5755777,3.8535607,Alpha,0.7425164,0.008534671,87
UMAP2,218,6.513249,3.7417588,Alpha,0.7528472,0.008653416,87
UMAP2,219,-10.724938,3.3942788,Ductal,0.9633774,0.011073303,87
UMAP2,220,7.64146,5.18426,Alpha,0.74120426,0.008519589,87
UMAP2,221,-1.5740901,-4.6944647,Ngn3 high EP,1.0048392,0.011549876,87
UMAP2,222,-11.364916,4.344074,Ductal,0.96004236,0.011034969,87
UMAP2,223,8.412721,4.2674565,Alpha,0.7595339,0.008730275,87
UMAP2,224,-11.003931,-1.1728581,Ductal,0.99353874,0.011419985,87
UMAP2,225,6.511388,2.0635886,Alpha,0.76429033,0.008784946,87
UMAP2,226,-10.640585,0.11699703,Ductal,0.97405595,0.011196045,87
UMAP2,227,7.1827517,5.100609,Alpha,0.7735449,0.008891321,87
UMAP2,228,-9.242672,3.1085637,Ductal,0.9823606,0.011291501,87
UMAP2,229,-10.241841,0.727951,Ductal,0.963026,0.011069264,87
UMAP2,230,3.3452432,-1.4667065,Pre-endocrine,0.9455534,0.01086843,87
UMAP2,231,-12.143137,2.5351555,Ductal,0.97301733,0.0111841075,87
UMAP2,232,5.0929728,2.5482855,Beta,0.89569205,0.010295311,87
UMAP2,233,6.331028,2.254438,Alpha,0.7376656,0.008478915,87
UMAP2,234,-7.717052,-2.022987,Ngn3 high EP,0.98767227,0.011352555,87
UMAP2,235,1.6285424,-3.9161441,Ngn3 high EP,0.9456557,0.0108696055,87
UMAP2,236,3.2888467,5.075647,Beta,5.343002,0.061413813,87
UMAP2,237,-7.7232585,-1.7825981,Ngn3 low EP,0.9877503,0.011353452,87
UMAP2,238,-8.885527,-0.17575195,Ngn3 low EP,1.0016339,0.011513033,87
UMAP2,239,4.0303802,-3.5861921,Pre-endocrine,0.9026966,0.010375823,87
UMAP2,240,2.628814,-2.0395703,Pre-endocrine,0.930323,0.010693368,87
UMAP2,241,2.3579855,-2.252564,Pre-endocrine,0.8871723,0.010197382,87
UMAP2,242,5.1288514,3.1929984,Beta,0.89565575,0.010294894,87
UMAP2,243,5.469442,-1.7237717,Pre-endocrine,0.90168047,0.010364143,87
UMAP2,244,1.3406211,-2.951712,Pre-endocrine,0.910981,0.010471046,87
UMAP2,245,-11.093955,-0.8421449,Ductal,0.9870808,0.011345756,87
UMAP2,246,7.162699,0.6111158,Alpha,0.86834085,0.009980929,87
UMAP2,247,-4.781803,-3.6151323,Ngn3 high EP,1.0224266,0.01175203,87
UMAP2,248,-10.043945,1.5839564,Ductal,0.9748994,0.01120574,87
UMAP2,249,6.9480457,-0.8090878,Pre-endocrine,0.8541405,0.009817707,87
UMAP2,250,-11.086575,-0.1925889,Ductal,0.9754685,0.011212282,87
UMAP2,251,-9.154995,-0.38861966,Ngn3 low EP,0.98486954,0.0113203395,87
UMAP2,252,4.884735,3.238577,Beta,0.9435158,0.010845009,87
UMAP2,253,-9.25125,-0.23491266,Ngn3 low EP,0.9928457,0.01141202,87
UMAP2,254,-9.35345,5.4344416,Ductal,1.1683813,0.013429671,87
UMAP2,255,7.7961087,4.060859,Alpha,0.75803274,0.00871302,87
UMAP2,256,-9.044225,-0.14805421,Ngn3 low EP,0.9930574,0.011414453,87
UMAP2,257,6.777175,1.9321803,Alpha,0.76067793,0.008743425,87
UMAP2,258,7.5633006,2.6837633,Alpha,0.7424246,0.008533617,87
UMAP2,259,-0.8370192,-4.906604,Ngn3 high EP,0.98845446,0.011361546,87
UMAP2,260,-8.7496605,-0.94191706,Ngn3 low EP,0.99928033,0.011485981,87
UMAP2,261,6.376775,0.8480432,Beta,0.83887804,0.009642276,87
UMAP2,262,2.475186,0.20168611,Epsilon,0.9252888,0.010635504,87
UMAP2,263,-5.9945283,-2.723744,Ngn3 high EP,0.99565464,0.011444306,87
UMAP2,264,4.382257,-0.76466584,Pre-endocrine,0.8935905,0.010271155,87
UMAP2,265,-10.169484,0.36452776,Ductal,0.976522,0.011224391,87
UMAP2,266,-11.765867,5.191062,Ductal,0.9727971,0.011181576,87
UMAP2,267,6.0452514,-1.8343345,Pre-endocrine,0.8810793,0.010127349,87
UMAP2,268,-11.916751,5.0514154,Ductal,0.95624113,0.010991277,87
UMAP2,269,2.2112195,4.940057,Beta,6.2659626,0.07202256,87
UMAP2,270,-2.385108,-4.125008,Ngn3 high EP,1.0128549,0.011642011,87
UMAP2,271,-11.532904,5.222303,Ductal,0.9508541,0.010929358,87
UMAP2,272,-11.676399,3.9058218,Ductal,0.96584946,0.011101718,87
UMAP2,273,-8.332741,0.09316502,Ductal,0.9819225,0.011286465,87
UMAP2,274,-9.533373,2.1432898,Ductal,0.9632491,0.011071828,87
UMAP2,275,5.4170666,0.9635551,Beta,0.9378803,0.010780233,87
UMAP2,276,2.809378,-4.5153985,Pre-endocrine,0.85429686,0.009819504,87
UMAP2,277,7.9616175,1.1452135,Alpha,0.8495164,0.009764556,87
UMAP2,278,6.5697355,3.1352892,Alpha,0.75424314,0.008669461,87
UMAP2,279,6.34623,-1.6735827,Pre-endocrine,0.8864056,0.01018857,87
UMAP2,280,-2.1904216,-3.9623346,Ngn3 high EP,1.027751,0.01181323,87
UMAP2,281,-9.181387,-0.033424795,Ductal,0.99187344,0.011400844,87
UMAP2,282,7.0984073,5.0934877,Alpha,0.7980802,0.0091733355,87
UMAP2,283,1.9500691,5.744494,Beta,5.907547,0.06790284,87
UMAP2,284,-4.77012,-3.675132,Ngn3 high EP,1.0300248,0.011839366,87
UMAP2,285,1.5513151,-0.8145749,Epsilon,0.9266157,0.010650755,87
UMAP2,286,-10.304022,-0.9711133,Ductal,0.987697,0.011352839,87
UMAP2,287,-9.346183,-0.13429774,Ngn3 low EP,0.9854708,0.01132725,87
UMAP2,288,-11.393715,2.8442008,Ductal,0.96577454,0.011100857,87
UMAP2,289,7.7373147,4.071755,Alpha,0.76622045,0.008807132,87
UMAP2,290,5.2174406,3.681239,Beta,0.89677805,0.0103077935,87
UMAP2,291,2.8633592,4.735023,Beta,5.8340178,0.06705768,87
UMAP2,292,3.3282263,-1.4245968,Pre-endocrine,0.9363051,0.010762128,87
UMAP2,293,6.9366198,4.448923,Alpha,0.7607004,0.008743683,87
UMAP2,294,-2.602157,-3.8656168,Ngn3 high EP,1.01274,0.01164069,87
UMAP2,295,1.730183,-0.3824698,Epsilon,0.9337485,0.010732741,87
UMAP2,296,2.1839733,5.0538034,Beta,6.235708,0.07167481,87
UMAP2,297,1.7100205,-4.564187,Ngn3 high EP,0.9361265,0.0107600745,87
UMAP2,298,8.426275,-1.1620268,Delta,0.7403901,0.008510231,87
UMAP2,299,7.09386,4.738942,Alpha,0.79341793,0.009119746,87
UMAP2,300,-6.5862656,-2.5747304,Ngn3 high EP,0.98917514,0.011369829,87
UMAP2,301,-11.400786,2.7180312,Ductal,0.9680299,0.011126781,87
UMAP2,302,-10.93543,1.0108523,Ngn3 low EP,0.9688045,0.011135683,87
UMAP2,303,-5.8279924,-2.9825108,Ngn3 high EP,1.0009944,0.011505683,87
UMAP2,304,4.575668,2.266153,Beta,0.90165293,0.0103638265,87
UMAP2,305,6.4222145,-0.16994165,Pre-endocrine,0.8372257,0.0096232835,87
UMAP2,306,-4.1307282,-3.4096875,Ngn3 high EP,1.023491,0.011764265,87
UMAP2,307,-5.338806,-3.4725497,Ngn3 high EP,1.0220879,0.011748137,87
UMAP2,308,7.6387615,2.4008605,Alpha,0.7715709,0.008868631,87
UMAP2,309,-8.199331,2.1621046,Ductal,0.99952525,0.011488796,87
UMAP2,310,4.5216546,-0.72476655,Pre-endocrine,0.8781148,0.010093274,87
UMAP2,311,-0.273398,-5.0597053,Ngn3 high EP,0.9667693,0.01111229,87
UMAP2,312,1.5244255,-2.22742,Pre-endocrine,0.92253786,0.010603883,87
UMAP2,313,5.410512,0.26352653,Beta,0.924559,0.010627115,87
UMAP2,314,2.2310019,1.3317419,Epsilon,0.9762431,0.011221184,87
UMAP2,315,1.5974596,-4.052975,Ngn3 high EP,0.93834573,0.010785583,87
UMAP2,316,4.704718,-2.8672853,Pre-endocrine,0.9399451,0.010803967,87
UMAP2,317,-8.121011,-1.3001552,Ngn3 low EP,0.99710864,0.011461019,87
UMAP2,318,8.416343,5.050197,Alpha,0.78074634,0.008974096,87
UMAP2,319,-9.425886,2.7804382,Ductal,0.97544646,0.011212029,87
UMAP2,320,-2.9809165,-3.7525656,Ngn3 high EP,1.0388615,0.011940937,87
UMAP2,321,-5.160691,-3.2082512,Ngn3 high EP,1.0138133,0.011653026,87
UMAP2,322,-7.582926,-1.2564229,Ngn3 low EP,0.99945086,0.011487941,87
UMAP2,323,7.904826,0.70822155,Alpha,0.8997699,0.010342183,87
UMAP2,324,6.0045853,0.0077591366,Beta,0.9519954,0.010942476,87
UMAP2,325,4.984954,2.245433,Beta,0.8920195,0.010253098,87
UMAP2,326,-11.715669,3.9678936,Ngn3 low EP,0.99996156,0.011493811,87
UMAP2,327,6.2537484,-2.4839404,Pre-endocrine,0.89407015,0.010276669,87
UMAP2,328,-11.768,0.9170352,Ductal,0.97258985,0.011179194,87
UMAP2,329,-8.950478,-0.48115227,Ductal,0.99424744,0.011428132,87
UMAP2,330,-8.547027,-0.40839824,Ngn3 low EP,1.000629,0.011501482,87
UMAP2,331,0.872237,-4.675645,Ngn3 high EP,0.92709327,0.010656244,87
UMAP2,332,3.110433,5.503577,Beta,6.6217575,0.07611216,87
UMAP2,333,1.0181519,-2.5566225,Pre-endocrine,0.9287051,0.010674771,87
UMAP2,334,-4.909668,-3.806054,Ngn3 high EP,1.0184937,0.0117068235,87
UMAP2,335,-10.865937,6.2544875,Ductal,1.0547214,0.012123234,87
UMAP2,336,-11.2654,-0.69195557,Ductal,0.9807397,0.01127287,87
UMAP2,337,-11.807065,2.3659685,Ductal,0.969401,0.01114254,87
UMAP2,338,5.8029475,-2.6360831,Pre-endocrine,0.8710054,0.010011557,87
UMAP2,339,-9.448929,2.4635942,Ductal,0.97153246,0.01116704,87
