setting,clusterid,gene,mean_score,fraction,x,y
reference_umap2,Ngn3High,SLC38A5,0.0,0.0,7,2
reference_umap2,Ngn3High,PDX1,0.1302532650371435,96.72897196261682,8,2
reference_umap2,Ngn3High,INS2,0.0120210639074653,0.0,9,2
reference_umap2,Ngn3High,SST,0.0,0.0,10,2
reference_umap2,Ngn3High,HHEX,0.0,0.0,11,2
reference_umap2,Ngn3High,GHRL,0.0,0.0,12,2
reference_umap2,Pre-endocrine,FOXP2,0.2953853842027282,91.38513513513512,0,3
reference_umap2,Pre-endocrine,NEUROG3,0.0273708114054648,3.3783783783783785,1,3
reference_umap2,Pre-endocrine,HMGN3,0.4001677819802002,87.5,2,3
reference_umap2,Pre-endocrine,PYY,0.1448465066629129,17.22972972972973,3,3
reference_umap2,Pre-endocrine,IAPP,0.0,0.0,4,3
reference_umap2,Pre-endocrine,CPE,0.0,0.0,5,3
reference_umap2,Pre-endocrine,GCG,0.0,0.0,6,3
reference_umap2,Pre-endocrine,SLC38A5,0.0,0.0,7,3
reference_umap2,Pre-endocrine,PDX1,0.1857976140202702,87.66891891891892,8,3
reference_umap2,Pre-endocrine,INS2,0.005233383508635,0.0,9,3
reference_umap2,Pre-endocrine,SST,0.0101707108824893,1.858108108108108,10,3
reference_umap2,Pre-endocrine,HHEX,0.0,0.0,11,3
reference_umap2,Pre-endocrine,GHRL,0.0235011007048153,4.391891891891892,12,3
reference_umap2,Alpha,FOXP2,0.3967091637223962,97.0893970893971,0,4
reference_umap2,Alpha,NEUROG3,0.0,0.0,1,4
reference_umap2,Alpha,HMGN3,0.1905481770549237,84.82328482328482,2,4
reference_umap2,Alpha,PYY,0.390342566123816,45.11434511434512,3,4
reference_umap2,Alpha,IAPP,0.4974368673692998,71.72557172557173,4,4
reference_umap2,Alpha,CPE,0.0,0.0,5,4
reference_umap2,Alpha,GCG,0.562194130944131,62.78586278586279,6,4
reference_umap2,Alpha,SLC38A5,0.2758090599831853,53.84615384615385,7,4
reference_umap2,Alpha,PDX1,0.0856501379337917,18.503118503118504,8,4
reference_umap2,Alpha,INS2,0.0070902151409046,0.0,9,4
reference_umap2,Alpha,SST,0.0027844357017523,0.6237006237006237,10,4
reference_umap2,Alpha,HHEX,0.0,0.0,11,4
reference_umap2,Alpha,GHRL,0.0458546743924102,8.93970893970894,12,4
reference_umap2,Beta,FOXP2,0.436545024772981,100.0,0,5
reference_umap2,Beta,NEUROG3,0.0,0.0,1,5
reference_umap2,Beta,HMGN3,0.1151924847598881,51.776649746192895,2,5
reference_umap2,Beta,PYY,0.4954195748730964,63.11336717428088,3,5
reference_umap2,Beta,IAPP,0.5869119890376235,76.48054145516075,4,5
reference_umap2,Beta,CPE,0.0,0.0,5,5
reference_umap2,Beta,GCG,0.0042563048908226,1.015228426395939,6,5
reference_umap2,Beta,SLC38A5,0.0174023424323903,4.39932318104907,7,5
reference_umap2,Beta,PDX1,0.4314573368150462,96.4467005076142,8,5
reference_umap2,Beta,INS2,0.3045543471905356,45.68527918781726,9,5
reference_umap2,Beta,SST,0.0066404940461577,1.5228426395939088,10,5
reference_umap2,Beta,HHEX,0.0,0.0,11,5
reference_umap2,Beta,GHRL,0.0021090732049931,0.5076142131979695,12,5
reference_umap2,Delta,FOXP2,0.165163381042398,100.0,0,6
reference_umap2,Delta,NEUROG3,0.0,0.0,1,6
reference_umap2,Delta,HMGN3,0.4135953299945772,100.0,2,6
reference_umap2,Delta,PYY,0.9772259424603176,100.0,3,6
reference_umap2,Delta,IAPP,0.697438637617209,95.71428571428572,4,6
reference_umap2,Delta,CPE,0.0,0.0,5,6
reference_umap2,Delta,GCG,0.0,0.0,6,6
reference_umap2,Delta,SLC38A5,0.0,0.0,7,6
reference_umap2,Delta,PDX1,0.1570784684065934,94.28571428571428,8,6
reference_umap2,Delta,INS2,0.0030988765241467,0.0,9,6
reference_umap2,Delta,SST,0.928607644305772,98.57142857142858,10,6
reference_umap2,Delta,HHEX,0.1468972010613712,15.714285714285714,11,6
reference_umap2,Delta,GHRL,0.0066374663072776,2.857142857142857,12,6
reference_umap2,Epsilon,FOXP2,0.5929803775393381,100.0,0,7
reference_umap2,Epsilon,NEUROG3,0.0,0.0,1,7
reference_umap2,Epsilon,HMGN3,0.0460674667161474,1.4084507042253522,2,7
reference_umap2,Epsilon,PYY,0.0773639231220657,9.15492957746479,3,7
reference_umap2,Epsilon,IAPP,0.0012626434281363,0.7042253521126761,4,7
reference_umap2,Epsilon,CPE,0.0,0.0,5,7
reference_umap2,Epsilon,GCG,0.0900674882629107,19.01408450704225,6,7
reference_umap2,Epsilon,SLC38A5,0.0197945197630043,5.633802816901409,7,7
reference_umap2,Epsilon,PDX1,0.1103674329631635,85.91549295774648,8,7
reference_umap2,Epsilon,INS2,0.0100519629142728,0.0,9,7
reference_umap2,Epsilon,SST,0.0,0.0,10,7
reference_umap2,Epsilon,HHEX,0.0,0.0,11,7
reference_umap2,Epsilon,GHRL,0.8821739398656087,100.0,12,7
